"filename", "language", "C#", "Python", "JSON", "comment", "blank", "total"
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\State Switching\RunRestarter.cs", "C#", 34, 0, 0, 0, 4, 38
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRunFailed.cs", "C#", 30, 0, 0, 0, 7, 37
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRunFailedRun.cs", "C#", -31, 0, 0, 0, -5, -36
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunFactory.cs", "C#", 4, 0, 0, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\Runthrough.cs", "C#", 9, 0, 0, 0, 3, 12
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughUI.cs", "C#", 2, 0, 0, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Shop\ArrowLevelPrice.cs", "C#", 4, 0, 0, 6, 1, 11
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Shop\PriceCalculatorFactory.cs", "C#", -5, 0, 0, -2, 0, -7
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Shop\UpgradePriceCalculator.cs", "C#", 17, 0, 0, 0, 3, 20
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Shop\UpgradePriceFormula.cs", "C#", 31, 0, 0, 0, 3, 34
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Shop\UpgradeShopService.cs", "C#", 2, 0, 0, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Upgrade System\UpgradeContext.cs", "C#", 6, 0, 0, 0, 1, 7
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Context Provider\UserContextConverter.cs", "C#", 3, 0, 0, 0, 2, 5
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\ISequenceCalculator.cs", "C#", 2, 0, 0, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation Sequence Tests\SequenceGenerationTests.cs", "C#", 96, 0, 0, 0, 20, 116
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\BestChoice.cs", "C#", 14, 0, 0, 0, 1, 15
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\IOperationRules.cs", "C#", 16, 0, 0, 1, 1, 18
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationExecutor.cs", "C#", -25, 0, 0, 0, -1, -26
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationFactory.cs", "C#", 98, 0, 0, 0, 23, 121
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationInstance.cs", "C#", -30, 0, 0, -21, 1, -50
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationPair.cs", "C#", 35, 0, 0, -1, 8, 42
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationPairsSequence.cs", "C#", 28, 0, 0, 0, 8, 36
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationRules.cs", "C#", 102, 0, 0, 1, 24, 127
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationsEnum.cs", "C#", 8, 0, 0, 0, 2, 10
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\RandomSequenceGenerator.cs", "C#", -9, 0, 0, 0, 5, -4
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\SequenceGenerator.cs", "C#", -73, 0, 0, -27, -11, -111
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\SequenceManager.cs", "C#", -5, 0, 0, 0, -3, -8
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Target\ITargetProvider.cs", "C#", 1, 0, 0, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Target\Target.cs", "C#", 17, 0, 0, 0, 4, 21
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Target\TargetDataOnlyGenerator.cs", "C#", 30, 0, 0, 0, 8, 38
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Target\TargetGroupGenerator.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Track\Track Items\Ring.cs", "C#", -8, 0, 0, 0, 0, -8
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Track\TrackFiller.cs", "C#", -8, 0, 0, 0, -2, -10
"c:\Unity\ArrowsDemo\Assets\Code\Scene Installers\GameInstaller.cs", "C#", 17, 0, 0, 0, 5, 22
"c:\Unity\ArrowsDemo\Assets\Code\UI\Elements\FlexibleGridLayout.cs", "C#", 1, 0, 0, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\UI\Settings\SettingsPanel.cs", "C#", -1, 0, 0, -6, -1, -8
"c:\Unity\ArrowsDemo\Assets\Code\UI\Skin Shop\ToggleInfront.cs", "C#", 25, 0, 0, 0, 6, 31
"c:\Unity\ArrowsDemo\Assets\Code\Utils\Cache\ArrayCache.cs", "C#", 83, 0, 0, 0, 14, 97
"c:\Unity\ArrowsDemo\Assets\Code\Utils\Cache\ArrayCacheWithEndDelegate.cs", "C#", 62, 0, 0, 0, 11, 73
"c:\Unity\ArrowsDemo\Assets\Code\Utils\Cache\ICache.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Unity\ArrowsDemo\Assets\Code\Utils\Cache\IOffsetCache.cs", "C#", 9, 0, 0, 1, 2, 12
"c:\Unity\ArrowsDemo\Assets\Code\Utils\Cache\OffsetArrayCache.cs", "C#", 43, 0, 0, 0, 6, 49
"c:\Unity\ArrowsDemo\Assets\Code\Utils\EnumUtils.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Unity\ArrowsDemo\Assets\Code\Utils\PathUtils.cs", "C#", 0, 0, 0, 0, -1, -1
"Total", "-", 1502, 6, 28, -19, 307, 1824
